,Data,Trait,Top_percentage_to_select,K_Value,PM,TBV_QP,TBV_Trad,Mean_BV_QP,Mean_BV_Trad,Var_Opt_QP,Var_Trad,Expected_Loss_QP,Expected_Loss_Trad,Ratio_QP,Ratio_Trad,Av_Rel_QP,Ave_Rel_Trad,Ratio_Mean,Ratio_Var,Ratio_Ave_Rel
1,Groundnut,T1,0.1,1,48.38709677,578.0135877,637.9319223,18.06292462,19.93537257,1548.386133,1881.538359,-970.3725449,-1243.606437,0.373300675,0.339048056,1.502738022,2.628972731,0.906074093,0.822936256,0.571606546
2,Groundnut,T1,0.2,1,50.79365079,1019.781322,1182.253074,15.93408316,18.47270428,6229.088456,7400.791868,-5209.307134,-6218.538795,0.163712769,0.159746834,1.515812332,2.508405589,0.862574473,0.841678643,0.604293157
3,Groundnut,T2,0.1,1,51.61290323,411.0543278,459.3803159,12.84544774,14.35563487,1539.303243,1857.330348,-1128.248915,-1397.950033,0.267039214,0.247333662,1.493787424,2.628972731,0.894801788,0.828771922,0.568201947
4,Groundnut,T2,0.2,1,44.44444444,716.8653176,846.3910385,11.20102059,13.22485998,6203.83289,7606.942643,-5486.967572,-6760.551604,0.115552003,0.1112656,1.509672379,2.508405589,0.846967046,0.815548793,0.601845405
5,Groundnut,T3,0.1,1,41.93548387,232.1465089,273.1345649,7.254578403,8.535455153,1524.731002,1843.667836,-1292.584493,-1570.533271,0.152254075,0.148147383,1.479413966,2.628972731,0.84993457,0.827009601,0.562734618
6,Groundnut,T3,0.2,1,42.85714286,411.6381549,499.8578682,6.43184617,7.810279191,6192.185624,7445.159245,-5780.54747,-6945.301377,0.066477037,0.06713864,1.506835862,2.508405589,0.823510404,0.83170627,0.600714601
9,Groundnut,T5,0.1,1,9.677419355,30.94478968,31.723343,0.967024678,0.991354469,1506.721926,2165.34971,-1475.777137,-2133.626367,0.020537824,0.014650448,1.461657442,2.628972731,0.975458031,0.695833066,0.55598045
10,Groundnut,T5,0.2,1,15.87301587,61.90177516,63.12676108,0.967215237,0.986355642,6182.148233,8526.307841,-6120.246458,-8463.18108,0.010012988,0.007403763,1.504354023,2.508405589,0.980594824,0.725067444,0.599725192
11,Groundnut,T6,0.1,1,9.677419355,36.4368123,36.94705415,1.138650385,1.154595442,1506.721926,2089.82938,-1470.285114,-2052.882326,0.024182838,0.01767946,1.461657442,2.628972731,0.986189918,0.72097844,0.55598045
12,Groundnut,T6,0.2,1,19.04761905,72.84616119,73.6743746,1.138221269,1.151162103,6182.148233,8515.916021,-6109.302072,-8442.241647,0.011783309,0.008651374,1.504354023,2.508405589,0.98875846,0.725952231,0.599725192
13,Groundnut,T7,0.1,1,9.677419355,17.59382993,17.91824642,0.549807185,0.559945201,1506.721926,2126.550097,-1489.128096,-2108.63185,0.011676892,0.00842597,1.461657442,2.628972731,0.981894629,0.708528771,0.55598045
14,Groundnut,T7,0.2,1,22.22222222,35.21082197,35.70176276,0.550169093,0.557840043,6182.148233,8484.679816,-6146.937411,-8448.978053,0.005695564,0.004207791,1.504354023,2.508405589,0.986248836,0.728624812,0.599725192
15,Groundnut,T8,0.1,1,32.25806452,6844.55725,6898.782564,213.8924141,215.5869551,1528.56849,2045.192764,5315.98876,4853.589801,4.477756342,3.373169848,1.482949511,2.628972731,0.992139872,0.747395804,0.564079457
16,Groundnut,T8,0.2,1,25.3968254,13633.92397,13757.00228,213.0300621,214.9531607,6193.959221,8405.66469,7439.964752,5351.337594,2.201164633,1.636634673,1.507257345,2.508405589,0.991053406,0.73687917,0.600882629